Aluno,Nota
André,9.5
Laís,8.7
Henrique,7.9
Mariana,Matemática,9.0
João,História,8.5
Lucas,Português,7.8
Mariana,Matemática,9.0
João,História,8.5
Lucas,Português,7.8
Mariana,Matemática,9.0
João,História,8.5
Lucas,Português,7.8
Mariana,Matemática,9.0
João,História,8.5
Lucas,Português,7.8
Mariana,Matemática,9.0
João,História,8.5
Lucas,Português,7.8
Mariana,Matemática,9.0
João,História,8.5
Lucas,Português,7.8
Mariana,Matemática,9.0
João,História,8.5
Lucas,Português,7.8
Mariana,Matemática,9.0
João,História,8.5
Lucas,Português,7.8
Mariana,Matemática,9.0
João,História,8.5
Lucas,Português,7.8
